,id,age,sport,years experience,hours training,ranking
0,0000,15,Track and Field,4,13.3,0.76
1,0001,15,Swimming,2,13.9,0.53
2,0001,15,Soccer,1,13.7,0.28
3,0001,15,Track and Field,4,8.3,0.58
4,0002,15,Track and Field,1,7.7,0.02
5,0002,14,Basketball,3,13.8,0.7
6,0002,15,Basketball,4,18.28,0.91
7,0002,15,Soccer,1,12.7,0.18
8,0004,16,Swimming,1,9.0,0.08
9,0005,15,Soccer,1,9.7,0.11
10,0005,14,Basketball,1,8.4,0.03
11,0005,15,Basketball,2,9.69,0.37
12,0006,15,Swimming,3,12.1,0.66
13,0006,16,Swimming,4,14.73,0.83
14,0006,16,Soccer,1,11.0,0.17
15,0009,15,Basketball,1,12.7,0.24
16,0009,16,Basketball,2,14.77,0.52
17,0009,17,Basketball,3,18.65,0.82
18,0009,18,Basketball,4,22.64,0.94
19,0009,17,Soccer,1,10.3,0.13
20,0009,18,Soccer,2,14.04,0.48
21,0009,17,Swimming,1,13.3,0.27
22,0009,18,Swimming,2,18.16,0.61
23,0010,15,Track and Field,2,11.9,0.42
24,0012,14,Soccer,1,7.4,0.0
25,0013,15,Basketball,1,9.7,0.09
26,0013,15,Swimming,1,10.7,0.13
27,0014,14,Basketball,1,11.4,0.16
28,0014,14,Track and Field,4,15.0,0.85
29,0016,15,Track and Field,1,8.7,0.05
30,0016,15,Swimming,1,8.7,0.07
31,0017,17,Soccer,1,9.3,0.09
32,0017,18,Soccer,2,10.63,0.38
33,0017,18,Track and Field,1,14.6,0.34
34,0020,15,Track and Field,1,13.7,0.31
35,0020,16,Track and Field,2,18.54,0.61
36,0020,17,Track and Field,3,23.81,0.89
37,0020,15,Swimming,3,12.1,0.59
38,0020,16,Swimming,4,14.02,0.82
39,0020,17,Swimming,5,16.72,0.94
40,0021,15,Track and Field,4,10.3,0.71
41,0021,16,Track and Field,5,13.48,0.86
42,0023,15,Basketball,1,8.7,0.07
43,0023,16,Basketball,2,9.78,0.36
44,0023,17,Basketball,3,10.89,0.58
45,0024,17,Soccer,1,14.3,0.31
46,0024,16,Swimming,1,11.0,0.14
47,0024,17,Swimming,2,13.08,0.45
48,0024,17,Basketball,1,10.3,0.09
49,0025,16,Swimming,1,13.0,0.29
50,0025,17,Swimming,2,16.16,0.58
51,0025,16,Track and Field,1,8.0,0.04
52,0025,17,Track and Field,2,9.71,0.36
53,0025,17,Soccer,1,14.3,0.3
54,0027,16,Soccer,1,15.0,0.33
55,0027,17,Soccer,2,19.31,0.68
56,0027,16,Track and Field,1,15.0,0.29
57,0027,17,Track and Field,2,17.97,0.58
58,0027,15,Basketball,4,8.3,0.57
59,0027,16,Basketball,5,11.04,0.82
60,0027,17,Basketball,6,14.75,0.94
61,0028,16,Swimming,1,9.0,0.04
62,0028,17,Swimming,2,11.45,0.44
63,0028,16,Basketball,1,15.0,0.33
64,0028,17,Basketball,2,17.36,0.62
65,0029,16,Basketball,1,11.0,0.19
66,0029,17,Basketball,2,15.03,0.56
67,0029,16,Track and Field,1,10.0,0.08
68,0029,17,Track and Field,2,12.4,0.43
69,0029,17,Soccer,1,14.3,0.27
70,0030,14,Track and Field,4,13.0,0.77
71,0030,14,Soccer,1,11.4,0.19
72,0031,15,Swimming,1,10.7,0.14
73,0031,16,Swimming,2,14.08,0.49
74,0031,17,Swimming,3,18.22,0.82
75,0034,17,Track and Field,1,13.3,0.27
76,0034,18,Track and Field,2,17.67,0.57
77,0034,15,Swimming,1,9.7,0.11
78,0034,16,Swimming,2,12.87,0.45
79,0034,17,Swimming,3,15.03,0.71
80,0034,18,Swimming,4,19.31,0.92
81,0036,15,Basketball,1,14.7,0.26
82,0036,16,Basketball,2,16.64,0.58
83,0036,17,Basketball,3,22.8,0.89
84,0036,18,Basketball,4,29.14,0.97
85,0036,15,Soccer,3,11.1,0.59
86,0036,16,Soccer,4,13.59,0.78
87,0036,17,Soccer,5,18.08,0.94
88,0036,18,Soccer,6,24.26,0.99
89,0036,16,Swimming,1,15.0,0.34
90,0036,17,Swimming,2,17.71,0.6
91,0036,18,Swimming,3,21.07,0.86
92,0037,17,Track and Field,1,12.3,0.22
93,0037,17,Basketball,1,8.3,0.03
94,0037,16,Soccer,1,8.0,0.03
95,0037,17,Soccer,2,10.31,0.37
96,0038,15,Soccer,3,11.1,0.62
97,0040,15,Track and Field,1,12.7,0.23
98,0040,14,Soccer,2,9.6,0.38
99,0040,15,Soccer,3,12.76,0.65
100,0040,15,Basketball,1,14.7,0.27
101,0042,15,Swimming,3,8.1,0.43
102,0042,15,Track and Field,3,15.1,0.73
103,0043,14,Track and Field,3,9.8,0.55
104,0043,15,Track and Field,4,12.97,0.78
105,0043,15,Soccer,1,12.7,0.22
106,0044,14,Track and Field,4,8.0,0.58
107,0044,15,Track and Field,5,10.72,0.76
108,0044,16,Track and Field,6,14.48,0.93
109,0044,17,Track and Field,7,16.03,0.96
110,0044,14,Soccer,1,13.4,0.29
111,0044,15,Soccer,2,15.08,0.54
112,0044,16,Soccer,3,18.4,0.79
113,0044,17,Soccer,4,25.72,0.96
114,0045,15,Soccer,2,11.9,0.41
115,0045,16,Soccer,3,15.41,0.73
116,0045,16,Track and Field,1,10.0,0.08
117,0046,16,Swimming,1,11.0,0.19
118,0046,17,Swimming,2,13.86,0.51
119,0046,16,Soccer,1,12.0,0.19
120,0046,17,Soccer,2,15.59,0.59
121,0047,15,Soccer,1,11.7,0.13
